Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,CD,Queens,411,,Queens Community District 11,CD,,122211,58828,63383,5959.16
2020,CD,Queens,412,,Queens Community District 12,CD,,256278,119848,136430,6106.12
2020,CD,Queens,413,,Queens Community District 13,CD,,199218,93019,106199,8015.86
2020,CD,Queens,414,,Queens Community District 14,CD,,124173,58486,65687,4290.71
2020,CD,Queens,480,,LaGuardia Airport,JIA,,0,0,0,752.47
2020,CD,Queens,481,,Flushing Meadows-Corona Park,JIA,,23,10,13,970.69
2020,CD,Queens,482,,Forest Park,JIA,,4,2,2,541.14
2020,CD,Queens,483,,John F. Kennedy International Airport,JIA,,2,1,1,4518.46
2020,CD,Queens,484,,Jamaica Bay (East),JIA,,12,4,8,2938.65
2020,CD,Staten Island,501,,Staten Island Community District 1,CD,,189663,92255,97408,8747.28
2020,CD,Staten Island,502,,Staten Island Community District 2,CD,,140795,68022,72773,13121.98
2020,CD,Staten Island,503,,Staten Island Community District 3,CD,,164723,79824,84899,13674.53
2020,CD,Staten Island,595,,Great Kills Park-Fort Wadsworth,JIA,,566,305,261,1270.63
2020,CCD2023,,CnclDist1,,City Council District 1,,,177751,85316,92435,1800.96
2020,CCD2023,,CnclDist2,,City Council District 2,,,176765,83043,93722,1109.85
2020,CCD2023,,CnclDist3,,City Council District 3,,,176988,91038,85950,1756.55
2020,CCD2023,,CnclDist4,,City Council District 4,,,177118,81519,95599,1540.26
2020,CCD2023,,CnclDist5,,City Council District 5,,,177041,78541,98500,871.09
2020,CCD2023,,CnclDist6,,City Council District 6,,,176532,82350,94182,1765.23
2020,CCD2023,,CnclDist7,,City Council District 7,,,176401,81344,95057,1271.79
2020,CCD2023,,CnclDist8,,City Council District 8,,,175640,80453,95187,2453.77
2020,CCD2023,,CnclDist9,,City Council District 9,,,175817,81068,94749,1292.84
2020,CCD2023,,CnclDist10,,City Council District 10,,,174902,82396,92506,1776.2
2020,CCD2023,,CnclDist11,,City Council District 11,,,175208,81615,93593,4902.59
2020,CCD2023,,CnclDist12,,City Council District 12,,,175033,78256,96777,2946.68
2020,CCD2023,,CnclDist13,,City Council District 13,,,174992,83851,91141,7463.51
2020,CCD2023,,CnclDist14,,City Council District 14,,,175033,82388,92645,1205.76
2020,CCD2023,,CnclDist15,,City Council District 15,,,172965,81235,91730,2342.84
2020,CCD2023,,CnclDist16,,City Council District 16,,,174802,81853,92949,1423.43
2020,CCD2023,,CnclDist17,,City Council District 17,,,174879,82361,92518,2630.26
2020,CCD2023,,CnclDist18,,City Council District 18,,,175266,81723,93543,2522.25
2020,CCD2023,,CnclDist19,,City Council District 19,,,170620,81796,88824,7683.32
2020,CCD2023,,CnclDist20,,City Council District 20,,,172857,82797,90060,3293.56
2020,CCD2023,,CnclDist21,,City Council District 21,,,170158,87974,82184,2988.58
2020,CCD2023,,CnclDist22,,City Council District 22,,,168762,84667,84095,3451.99
2020,CCD2023,,CnclDist23,,City Council District 23,,,169797,81330,88467,7129.89
2020,CCD2023,,CnclDist24,,City Council District 24,,,169030,81124,87906,4151.06
2020,CCD2023,,CnclDist25,,City Council District 25,,,169420,84474,84946,1466.24
2020,CCD2023,,CnclDist26,,City Council District 26,,,169059,83602,85457,3859.09
2020,CCD2023,,CnclDist27,,City Council District 27,,,168994,79024,89970,4839.21
2020,CCD2023,,CnclDist28,,City Council District 28,,,169565,79973,89592,3993.24
2020,CCD2023,,CnclDist29,,City Council District 29,,,172302,83300,89002,2935.26
2020,CCD2023,,CnclDist30,,City Council District 30,,,169507,82314,87193,3873.48
2020,CCD2023,,CnclDist31,,City Council District 31,,,169271,78022,91249,11757.81
2020,CCD2023,,CnclDist32,,City Council District 32,,,168730,82005,86725,8130.61
2020,CCD2023,,CnclDist33,,City Council District 33,,,176440,87569,88871,2532.91
2020,CCD2023,,CnclDist34,,City Council District 34,,,168436,82143,86293,2415.23
2020,CCD2023,,CnclDist35,,City Council District 35,,,171603,78383,93220,1826.02
2020,CCD2023,,CnclDist36,,City Council District 36,,,169437,77744,91693,1749.88
2020,CCD2023,,CnclDist37,,City Council District 37,,,168115,81293,86822,2319.79
2020,CCD2023,,CnclDist38,,City Council District 38,,,177483,89188,88295,3478.73
2020,CCD2023,,CnclDist39,,City Council District 39,,,174585,84206,90379,2643.87
2020,CCD2023,,CnclDist40,,City Council District 40,,,171813,78697,93116,1691.52
2020,CCD2023,,CnclDist41,,City Council District 41,,,168602,74723,93879,1819.7
2020,CCD2023,,CnclDist42,,City Council District 42,,,168016,75118,92898,4518.77
2020,CCD2023,,CnclDist43,,City Council District 43,,,175462,86619,88843,1732.82
2020,CCD2023,,CnclDist44,,City Council District 44,,,173852,87270,86582,2277.12
2020,CCD2023,,CnclDist45,,City Council District 45,,,168468,76770,91698,2706.67
2020,CCD2023,,CnclDist46,,City Council District 46,,,170151,77881,92270,6541.38
2020,CCD2023,,CnclDist47,,City Council District 47,,,173487,82612,90875,3380.24
2020,CCD2023,,CnclDist48,,City Council District 48,,,176588,84016,92572,2520.07
2020,CCD2023,,CnclDist49,,City Council District 49,,,168163,81585,86578,7677.86
2020,CCD2023,,CnclDist50,,City Council District 50,,,173151,83977,89174,14936.68
