Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,NTA2020,Queens,QN0503,,Glendale,,0,35135,16958,18177,689.98
2020,NTA2020,Queens,QN0504,,Middle Village,,0,34474,16641,17833,807.04
2020,NTA2020,Queens,QN0571,,Mount Olivet & All Faiths Cemeteries,,7,3,0,3,176.18
2020,NTA2020,Queens,QN0572,,Middle Village Cemetery,,7,0,0,0,120.35
2020,NTA2020,Queens,QN0573,,St. John Cemetery,,7,3,1,2,200.67
2020,NTA2020,Queens,QN0574,,Highland Park-Cypress Hills Cemeteries (North),,7,20,10,10,697.38
2020,NTA2020,Queens,QN0601,,Rego Park,,0,30741,14484,16257,461.27
2020,NTA2020,Queens,QN0602,,Forest Hills,,0,88965,41467,47498,1332.07
2020,NTA2020,Queens,QN0701,,College Point,,0,33625,16604,17021,1531.73
2020,NTA2020,Queens,QN0702,,Whitestone-Beechhurst,,0,28408,13659,14749,1210.14
2020,NTA2020,Queens,QN0703,,Bay Terrace-Clearview,,0,23287,10578,12709,903.25
2020,NTA2020,Queens,QN0704,,Murray Hill-Broadway Flushing,,0,57387,27267,30120,1292.86
2020,NTA2020,Queens,QN0705,,East Flushing,,0,34704,17021,17683,725.96
2020,NTA2020,Queens,QN0706,,Queensboro Hill,,0,23638,11668,11970,606.44
2020,NTA2020,Queens,QN0707,,Flushing-Willets Point,,0,69879,32776,37103,863.64
2020,NTA2020,Queens,QN0761,,Fort Totten,,6,0,0,0,160.22
2020,NTA2020,Queens,QN0791,,Kissena Park,,9,2,2,0,242.09
2020,NTA2020,Queens,QN0801,,Kew Gardens Hills,,0,36009,17259,18750,788.63
2020,NTA2020,Queens,QN0802,,Pomonok-Electchester-Hillcrest,,0,35669,16842,18827,848.68
2020,NTA2020,Queens,QN0803,,Fresh Meadows-Utopia,,0,23434,11188,12246,763.36
2020,NTA2020,Queens,QN0804,,Jamaica Estates-Holliswood,,0,23576,11057,12519,906.25
2020,NTA2020,Queens,QN0805,,Jamaica Hills-Briarwood,,0,39292,19137,20155,635.95
2020,NTA2020,Queens,QN0871,,Mount Hebron & Cedar Grove Cemeteries,,7,1,1,0,215.99
2020,NTA2020,Queens,QN0891,,Cunningham Park,,9,5,4,1,487.27
2020,NTA2020,Queens,QN0901,,Kew Gardens,,0,24371,11776,12595,465.9
2020,NTA2020,Queens,QN0902,,Richmond Hill,,0,34100,16950,17150,694.4
2020,NTA2020,Queens,QN0903,,South Richmond Hill,,0,24141,12426,11715,364.07
2020,NTA2020,Queens,QN0904,,Ozone Park (North),,0,27312,13656,13656,415.79
2020,NTA2020,Queens,QN0905,,Woodhaven,,0,41948,20665,21283,545.81
2020,NTA2020,Queens,QN1001,,South Ozone Park,,0,79540,39057,40483,1875.66
2020,NTA2020,Queens,QN1002,,Ozone Park,,0,23518,11321,12197,576.73
2020,NTA2020,Queens,QN1003,,Howard Beach-Lindenwood,,0,27320,12940,14380,1208.24
2020,NTA2020,Queens,QN1091,,Spring Creek Park,,9,0,0,0,271.47
2020,NTA2020,Queens,QN1101,,Auburndale,,0,36182,17449,18733,1273.26
2020,NTA2020,Queens,QN1102,,Bayside,,0,35588,17280,18308,1604.17
2020,NTA2020,Queens,QN1103,,Douglaston-Little Neck,,0,25262,12066,13196,1578.58
2020,NTA2020,Queens,QN1104,,Oakland Gardens-Hollis Hills,,0,25249,12037,13212,909.48
2020,NTA2020,Queens,QN1191,,Alley Pond Park,,9,85,79,6,581.89
2020,NTA2020,Queens,QN1201,,Jamaica,,0,60993,29964,31029,1073.91
2020,NTA2020,Queens,QN1202,,South Jamaica,,0,44401,20921,23480,869.72
2020,NTA2020,Queens,QN1203,,Baisley Park,,0,43090,19918,23172,1074.82
2020,NTA2020,Queens,QN1204,,Springfield Gardens (North)-Rochdale Village,,0,32883,14343,18540,790.8
2020,NTA2020,Queens,QN1205,,St. Albans,,0,51816,23822,27994,1707.01
2020,NTA2020,Queens,QN1206,,Hollis,,0,24576,11620,12956,561.82
2020,NTA2020,Queens,QN1301,,Glen Oaks-Floral Park-New Hyde Park,,0,23364,10840,12524,1040.32
2020,NTA2020,Queens,QN1302,,Bellerose,,0,26566,13136,13430,1266.8
2020,NTA2020,Queens,QN1303,,Queens Village,,0,54345,25930,28415,1599.17
2020,NTA2020,Queens,QN1304,,Cambria Heights,,0,19081,8504,10577,757.6
2020,NTA2020,Queens,QN1305,,Laurelton,,0,26088,11628,14460,910.48
2020,NTA2020,Queens,QN1306,,Springfield Gardens (South)-Brookville,,0,23103,10619,12484,1293.23
2020,NTA2020,Queens,QN1307,,Rosedale,,0,27101,12555,14546,1082.19
2020,NTA2020,Queens,QN1371,,Montefiore Cemetery,,7,0,0,0,126.54
2020,NTA2020,Queens,QN1401,,Far Rockaway-Bayswater,,0,58648,27895,30753,1386.8
2020,NTA2020,Queens,QN1402,,Rockaway Beach-Arverne-Edgemere,,0,41367,18666,22701,1159.93
2020,NTA2020,Queens,QN1403,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,0,24134,11911,12223,1584.51
2020,NTA2020,Queens,QN1491,,Rockaway Community Park,,9,12,7,5,205.59
2020,NTA2020,Queens,QN8081,,LaGuardia Airport,,8,0,0,0,701.07
2020,NTA2020,Queens,QN8191,,Flushing Meadows-Corona Park,,9,44,25,19,1107.35
2020,NTA2020,Queens,QN8291,,Forest Park,,9,4,2,2,549.9
2020,NTA2020,Queens,QN8381,,John F. Kennedy International Airport,,8,2,1,1,4526.75
2020,NTA2020,Queens,QN8491,,Jamaica Bay (East),,9,0,0,0,1656.88
2020,NTA2020,Queens,QN8492,,Jacob Riis Park-Fort Tilden-Breezy Point Tip,,9,24,11,13,1208.7
2020,NTA2020,Staten Island,SI0101,,St. George-New Brighton,,0,20549,9977,10572,622.19
2020,NTA2020,Staten Island,SI0102,,Tompkinsville-Stapleton-Clifton-Fox Hills,,0,19027,9454,9573,555.56
2020,NTA2020,Staten Island,SI0103,,Rosebank-Shore Acres-Park Hill,,0,25510,12134,13376,810.72
2020,NTA2020,Staten Island,SI0104,,West New Brighton-Silver Lake-Grymes Hill,,0,37010,17822,19188,1984.92
2020,NTA2020,Staten Island,SI0105,,Westerleigh-Castleton Corners,,0,31458,15268,16190,1758.63
2020,NTA2020,Staten Island,SI0106,,Port Richmond,,0,22609,11420,11189,836.43
2020,NTA2020,Staten Island,SI0107,,Mariner's Harbor-Arlington-Graniteville,,0,33492,16176,17316,2091.95
2020,NTA2020,Staten Island,SI0191,,Snug Harbor,,9,8,4,4,90.81
2020,NTA2020,Staten Island,SI0201,,Grasmere-Arrochar-South Beach-Dongan Hills,,0,36259,17576,18683,1822.74
2020,NTA2020,Staten Island,SI0202,,New Dorp-Midland Beach,,0,29083,14252,14831,1424.44
2020,NTA2020,Staten Island,SI0203,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,,0,32822,15659,17163,4224.78
2020,NTA2020,Staten Island,SI0204,,New Springville-Willowbrook-Bulls Head-Travis,,0,42871,20648,22223,4646.91
2020,NTA2020,Staten Island,SI0291,,Freshkills Park (North),,9,15,8,7,1360.98
2020,NTA2020,Staten Island,SI0301,,Oakwood-Richmondtown,,0,22388,10719,11669,1296.88
2020,NTA2020,Staten Island,SI0302,,Great Kills-Eltingville,,0,54699,26378,28321,2682.48
2020,NTA2020,Staten Island,SI0303,,Arden Heights-Rossville,,0,30683,14837,15846,1553.56
2020,NTA2020,Staten Island,SI0304,,Annadale-Huguenot-Prince's Bay-Woodrow,,0,40534,19861,20673,4102.06
2020,NTA2020,Staten Island,SI0305,,Tottenville-Charleston,,0,16089,7865,8224,2929.05
2020,NTA2020,Staten Island,SI0391,,Freshkills Park (South),,9,95,54,41,1004.51
2020,NTA2020,Staten Island,SI9561,,Fort Wadsworth,,6,495,263,232,224.91
2020,NTA2020,Staten Island,SI9591,,Hoffman & Swinburne Islands,,9,0,0,0,0
2020,NTA2020,Staten Island,SI9592,,Miller Field,,9,46,28,18,241.16
2020,NTA2020,Staten Island,SI9593,,Great Kills Park,,9,5,3,2,548.75
2020,CT2020,Bronx,36005000100,2000100,,,,3772,3560,212,414.45
2020,CT2020,Bronx,36005000200,2000200,,,,4779,2279,2500,111.9
2020,CT2020,Bronx,36005000400,2000400,,,,6272,2969,3303,190.44
2020,CT2020,Bronx,36005001600,2001600,,,,5795,2513,3282,119.87
2020,CT2020,Bronx,36005001901,2001901,,,,2292,1155,1137,50.66
2020,CT2020,Bronx,36005001902,2001902,,,,1613,867,746,116.08
2020,CT2020,Bronx,36005001903,2001903,,,,2,2,0,224.55
2020,CT2020,Bronx,36005001904,2001904,,,,0,0,0,20.28
2020,CT2020,Bronx,36005002001,2002001,,,,5007,2070,2937,49.27
2020,CT2020,Bronx,36005002002,2002002,,,,4584,2092,2492,50.63
2020,CT2020,Bronx,36005002300,2002300,,,,4742,2030,2712,25.86
2020,CT2020,Bronx,36005002400,2002400,,,,6,3,3,170.86
2020,CT2020,Bronx,36005002500,2002500,,,,5442,2627,2815,31.5
2020,CT2020,Bronx,36005002701,2002701,,,,3080,1397,1683,20.16
2020,CT2020,Bronx,36005002702,2002702,,,,4995,2221,2774,38.42
2020,CT2020,Bronx,36005002800,2002800,,,,5853,2503,3350,102.45
2020,CT2020,Bronx,36005003100,2003100,,,,2964,1329,1635,38.23
2020,CT2020,Bronx,36005003300,2003300,,,,3689,1678,2011,37.66
2020,CT2020,Bronx,36005003500,2003500,,,,3726,1728,1998,35.09
2020,CT2020,Bronx,36005003700,2003700,,,,340,163,177,41.01
2020,CT2020,Bronx,36005003800,2003800,,,,1683,762,921,15.67
2020,CT2020,Bronx,36005003900,2003900,,,,6345,3162,3183,53.43
2020,CT2020,Bronx,36005004001,2004001,,,,1739,858,881,30.43
2020,CT2020,Bronx,36005004100,2004100,,,,6146,2780,3366,45.65
2020,CT2020,Bronx,36005004200,2004200,,,,7201,3085,4116,119.44
2020,CT2020,Bronx,36005004300,2004300,,,,5883,2764,3119,55.7
2020,CT2020,Bronx,36005004400,2004400,,,,4642,1909,2733,65.63
2020,CT2020,Bronx,36005004600,2004600,,,,1976,913,1063,33.44
2020,CT2020,Bronx,36005004800,2004800,,,,4184,2081,2103,37.27
2020,CT2020,Bronx,36005005001,2005001,,,,4960,2345,2615,24.19
2020,CT2020,Bronx,36005005002,2005002,,,,6518,3193,3325,28.15
2020,CT2020,Bronx,36005005100,2005100,,,,6459,2759,3700,126.13
2020,CT2020,Bronx,36005005200,2005200,,,,2130,929,1201,45.14
2020,CT2020,Bronx,36005005300,2005300,,,,4371,1939,2432,17.8
2020,CT2020,Bronx,36005005400,2005400,,,,6804,3415,3389,48.56
2020,CT2020,Bronx,36005005600,2005600,,,,2863,1358,1505,33.65
2020,CT2020,Bronx,36005005902,2005902,,,,2577,1220,1357,17.38
2020,CT2020,Bronx,36005006000,2006000,,,,1262,601,661,83.15
2020,CT2020,Bronx,36005006100,2006100,,,,3444,1412,2032,59.99
2020,CT2020,Bronx,36005006200,2006200,,,,6769,3066,3703,47.94
2020,CT2020,Bronx,36005006301,2006301,,,,6567,3120,3447,193.28
2020,CT2020,Bronx,36005006302,2006302,,,,19,14,5,64.97
2020,CT2020,Bronx,36005006400,2006400,,,,4186,1997,2189,41.31
2020,CT2020,Bronx,36005006500,2006500,,,,6251,3012,3239,64.69
2020,CT2020,Bronx,36005006700,2006700,,,,6893,3247,3646,52.49
2020,CT2020,Bronx,36005006800,2006800,,,,3419,1649,1770,38.15
2020,CT2020,Bronx,36005006900,2006900,,,,6964,3225,3739,46.45
2020,CT2020,Bronx,36005007000,2007000,,,,5021,2559,2462,50.63
2020,CT2020,Bronx,36005007100,2007100,,,,2789,1272,1517,65.3
2020,CT2020,Bronx,36005007200,2007200,,,,6291,3082,3209,52.65
2020,CT2020,Bronx,36005007300,2007300,,,,4205,1948,2257,34.63
2020,CT2020,Bronx,36005007400,2007400,,,,3536,1538,1998,46.25
2020,CT2020,Bronx,36005007500,2007500,,,,6749,3015,3734,56.25
2020,CT2020,Bronx,36005007600,2007600,,,,5682,2840,2842,53.68
2020,CT2020,Bronx,36005007700,2007700,,,,1974,954,1020,27.88
2020,CT2020,Bronx,36005007800,2007800,,,,7037,3502,3535,77.07
2020,CT2020,Bronx,36005007900,2007900,,,,6826,3229,3597,48.91
2020,CT2020,Bronx,36005008300,2008300,,,,6122,2817,3305,52.86
2020,CT2020,Bronx,36005008400,2008400,,,,2587,1261,1326,38.74
2020,CT2020,Bronx,36005008500,2008500,,,,5894,2699,3195,44.89
2020,CT2020,Bronx,36005008600,2008600,,,,4145,1807,2338,46.37
2020,CT2020,Bronx,36005008700,2008700,,,,5976,2697,3279,52.78
2020,CT2020,Bronx,36005008900,2008900,,,,3118,1482,1636,27.25
2020,CT2020,Bronx,36005009000,2009000,,,,3911,1712,2199,253.2
2020,CT2020,Bronx,36005009200,2009200,,,,6271,3080,3191,76.72
2020,CT2020,Bronx,36005009301,2009301,,,,5551,2736,2815,141.04
2020,CT2020,Bronx,36005009302,2009302,,,,512,497,15,435.75
2020,CT2020,Bronx,36005009600,2009600,,,,2946,1397,1549,173.83
2020,CT2020,Bronx,36005009800,2009800,,,,5903,2778,3125,127.86
2020,CT2020,Bronx,36005011000,2011000,,,,0,0,0,511.3
2020,CT2020,Bronx,36005011502,2011502,,,,4396,2104,2292,83.1
2020,CT2020,Bronx,36005011701,2011701,,,,1554,710,844,54.78
2020,CT2020,Bronx,36005011702,2011702,,,,0,0,0,280.91
2020,CT2020,Bronx,36005011800,2011800,,,,5324,2979,2345,244.55
2020,CT2020,Bronx,36005011900,2011900,,,,5703,2725,2978,41.27
2020,CT2020,Bronx,36005012101,2012101,,,,3319,1584,1735,28.57
2020,CT2020,Bronx,36005012102,2012102,,,,1616,750,866,12.27
2020,CT2020,Bronx,36005012300,2012300,,,,4766,2186,2580,74.95
2020,CT2020,Bronx,36005012500,2012500,,,,4139,1967,2172,41.92
2020,CT2020,Bronx,36005012701,2012701,,,,2184,1015,1169,26.86
2020,CT2020,Bronx,36005012901,2012901,,,,4923,2331,2592,38.64
2020,CT2020,Bronx,36005013000,2013000,,,,1198,570,628,28.7
2020,CT2020,Bronx,36005013100,2013100,,,,5390,2506,2884,57.07
2020,CT2020,Bronx,36005013200,2013200,,,,6652,3124,3528,149.32
2020,CT2020,Bronx,36005013300,2013300,,,,6064,2644,3420,39.83
2020,CT2020,Bronx,36005013500,2013500,,,,4001,1806,2195,41.37
2020,CT2020,Bronx,36005013800,2013800,,,,3060,1471,1589,189.12
2020,CT2020,Bronx,36005014100,2014100,,,,7344,3335,4009,43.78
2020,CT2020,Bronx,36005014300,2014300,,,,1898,987,911,32.05
2020,CT2020,Bronx,36005014400,2014400,,,,6046,2634,3412,99.15
2020,CT2020,Bronx,36005014500,2014500,,,,7055,3173,3882,44.95
2020,CT2020,Bronx,36005014701,2014701,,,,6361,2756,3605,34.21
2020,CT2020,Bronx,36005014702,2014702,,,,5081,2224,2857,28.74
2020,CT2020,Bronx,36005014900,2014900,,,,4723,2259,2464,38.55
2020,CT2020,Bronx,36005015100,2015100,,,,5957,2922,3035,51.63
2020,CT2020,Bronx,36005015200,2015200,,,,2593,1259,1334,70.25
2020,CT2020,Bronx,36005015300,2015300,,,,4258,2066,2192,58.52
2020,CT2020,Bronx,36005015500,2015500,,,,2891,1340,1551,28.41
2020,CT2020,Bronx,36005015700,2015700,,,,5542,2518,3024,78.83
2020,CT2020,Bronx,36005015800,2015800,,,,1442,670,772,40.07
2020,CT2020,Bronx,36005015900,2015900,,,,2481,1094,1387,25.6
2020,CT2020,Bronx,36005016000,2016000,,,,4003,1926,2077,122.19
2020,CT2020,Bronx,36005016100,2016100,,,,5243,2357,2886,59.09
2020,CT2020,Bronx,36005016200,2016200,,,,1908,891,1017,44.64
2020,CT2020,Bronx,36005016300,2016300,,,,34,17,17,144.81
2020,CT2020,Bronx,36005016400,2016400,,,,1221,574,647,40.67
2020,CT2020,Bronx,36005016500,2016500,,,,1097,515,582,48.64
2020,CT2020,Bronx,36005016600,2016600,,,,2625,1234,1391,70.6
2020,CT2020,Bronx,36005016700,2016700,,,,3373,1566,1807,50.86
2020,CT2020,Bronx,36005016900,2016900,,,,1586,778,808,22.96
2020,CT2020,Bronx,36005017100,2017100,,,,10,4,6,43.14
2020,CT2020,Bronx,36005017300,2017300,,,,6395,2990,3405,40.84
2020,CT2020,Bronx,36005017500,2017500,,,,6988,3350,3638,37.46
2020,CT2020,Bronx,36005017701,2017701,,,,4754,2338,2416,26.35
2020,CT2020,Bronx,36005017702,2017702,,,,4979,2413,2566,34.82
2020,CT2020,Bronx,36005017901,2017901,,,,5124,2426,2698,18.96
2020,CT2020,Bronx,36005017902,2017902,,,,3447,1621,1826,19.16
2020,CT2020,Bronx,36005018101,2018101,,,,3299,1632,1667,19.08
2020,CT2020,Bronx,36005018102,2018102,,,,5510,2731,2779,23.82
2020,CT2020,Bronx,36005018301,2018301,,,,4423,2063,2360,16.77
2020,CT2020,Bronx,36005018302,2018302,,,,3686,1756,1930,27.75
2020,CT2020,Bronx,36005018400,2018400,,,,4329,2064,2265,110.56
2020,CT2020,Bronx,36005018501,2018501,,,,3076,1507,1569,45.49
2020,CT2020,Bronx,36005018502,2018502,,,,6442,3184,3258,56.24
2020,CT2020,Bronx,36005018900,2018900,,,,8360,4011,4349,87.86
2020,CT2020,Bronx,36005019300,2019300,,,,6020,2698,3322,59.62
2020,CT2020,Bronx,36005019400,2019400,,,,2022,964,1058,207.6
2020,CT2020,Bronx,36005019500,2019500,,,,7509,3541,3968,54.32
2020,CT2020,Bronx,36005019700,2019700,,,,7213,3514,3699,36.59
2020,CT2020,Bronx,36005019900,2019900,,,,7909,3598,4311,43.76
2020,CT2020,Bronx,36005020000,2020000,,,,5235,2499,2736,84.48
2020,CT2020,Bronx,36005020100,2020100,,,,4345,1994,2351,69.64
2020,CT2020,Bronx,36005020200,2020200,,,,2789,1330,1459,30.84
2020,CT2020,Bronx,36005020400,2020400,,,,3129,1528,1601,33.18
2020,CT2020,Bronx,36005020501,2020501,,,,7859,3486,4373,66.75
2020,CT2020,Bronx,36005020502,2020502,,,,2462,1099,1363,25.14
2020,CT2020,Bronx,36005020601,2020601,,,,3277,1625,1652,37.45
2020,CT2020,Bronx,36005020900,2020900,,,,4823,2335,2488,32.73
2020,CT2020,Bronx,36005021001,2021001,,,,8946,4115,4831,47.54
2020,CT2020,Bronx,36005021002,2021002,,,,7855,3565,4290,42.52
2020,CT2020,Bronx,36005021100,2021100,,,,5822,2677,3145,37.48
2020,CT2020,Bronx,36005021200,2021200,,,,6596,3044,3552,24.96
2020,CT2020,Bronx,36005021301,2021301,,,,1264,563,701,15.33
2020,CT2020,Bronx,36005021302,2021302,,,,5830,2656,3174,41.83
2020,CT2020,Bronx,36005021501,2021501,,,,4078,1791,2287,22.72
2020,CT2020,Bronx,36005021502,2021502,,,,6360,2954,3406,38.48
2020,CT2020,Bronx,36005021601,2021601,,,,4701,2211,2490,40.54
2020,CT2020,Bronx,36005021602,2021602,,,,6237,2829,3408,40.89
2020,CT2020,Bronx,36005021700,2021700,,,,5006,2412,2594,39.91
2020,CT2020,Bronx,36005021800,2021800,,,,6610,3240,3370,74.1
2020,CT2020,Bronx,36005021900,2021900,,,,1176,665,511,35.32
2020,CT2020,Bronx,36005022000,2022000,,,,2511,1461,1050,56.49
2020,CT2020,Bronx,36005022101,2022101,,,,4001,1889,2112,16.83
2020,CT2020,Bronx,36005022102,2022102,,,,5457,2518,2939,19.35
2020,CT2020,Bronx,36005022200,2022200,,,,3968,1962,2006,54.66
2020,CT2020,Bronx,36005022300,2022300,,,,5063,2278,2785,22.92
2020,CT2020,Bronx,36005022401,2022401,,,,2787,1296,1491,21.02
2020,CT2020,Bronx,36005022403,2022403,,,,3275,1477,1798,30.85
2020,CT2020,Bronx,36005022404,2022404,,,,4489,2071,2418,22.91
2020,CT2020,Bronx,36005022500,2022500,,,,8141,3868,4273,44.48
2020,CT2020,Bronx,36005022701,2022701,,,,5669,2687,2982,28.96
2020,CT2020,Bronx,36005022702,2022702,,,,1634,771,863,11.71
2020,CT2020,Bronx,36005022703,2022703,,,,1699,814,885,9.55
2020,CT2020,Bronx,36005022800,2022800,,,,6336,2980,3356,42.55
2020,CT2020,Bronx,36005022901,2022901,,,,5766,2776,2990,30.12
2020,CT2020,Bronx,36005022902,2022902,,,,3401,1589,1812,22.64
2020,CT2020,Bronx,36005023000,2023000,,,,3001,1509,1492,39.38
2020,CT2020,Bronx,36005023100,2023100,,,,1464,769,695,28.95
2020,CT2020,Bronx,36005023200,2023200,,,,3000,1472,1528,35.26
2020,CT2020,Bronx,36005023301,2023301,,,,4577,2214,2363,29.43
2020,CT2020,Bronx,36005023302,2023302,,,,3574,1770,1804,15.46
2020,CT2020,Bronx,36005023501,2023501,,,,3570,1630,1940,16.85
2020,CT2020,Bronx,36005023502,2023502,,,,4417,2069,2348,23.78
2020,CT2020,Bronx,36005023600,2023600,,,,2204,1054,1150,22.75
2020,CT2020,Bronx,36005023702,2023702,,,,1179,594,585,11.83
2020,CT2020,Bronx,36005023703,2023703,,,,5086,2525,2561,24.86
2020,CT2020,Bronx,36005023704,2023704,,,,3970,1886,2084,16.67
2020,CT2020,Bronx,36005023800,2023800,,,,2750,1370,1380,83.9
2020,CT2020,Bronx,36005023900,2023900,,,,8213,4016,4197,44.11
2020,CT2020,Bronx,36005024000,2024000,,,,4583,2302,2281,59.25
2020,CT2020,Bronx,36005024100,2024100,,,,6331,3048,3283,33.28
2020,CT2020,Bronx,36005024300,2024300,,,,5577,2608,2969,37.17
2020,CT2020,Bronx,36005024400,2024400,,,,2407,1136,1271,43.42
2020,CT2020,Bronx,36005024501,2024501,,,,5059,2358,2701,27.94
2020,CT2020,Bronx,36005024502,2024502,,,,3797,1763,2034,24.75
2020,CT2020,Bronx,36005024600,2024600,,,,2297,1129,1168,37.67
2020,CT2020,Bronx,36005024700,2024700,,,,1921,911,1010,36.86
2020,CT2020,Bronx,36005024800,2024800,,,,3620,1696,1924,68.67
2020,CT2020,Bronx,36005024900,2024900,,,,4,3,1,42.93
2020,CT2020,Bronx,36005025000,2025000,,,,2672,1308,1364,44.9
2020,CT2020,Bronx,36005025100,2025100,,,,6924,3357,3567,51.73
2020,CT2020,Bronx,36005025200,2025200,,,,2682,1285,1397,47.13
2020,CT2020,Bronx,36005025300,2025300,,,,6234,2943,3291,30.75
2020,CT2020,Bronx,36005025400,2025400,,,,2163,1030,1133,41.99
2020,CT2020,Bronx,36005025500,2025500,,,,8092,3943,4149,41.67
2020,CT2020,Bronx,36005025600,2025600,,,,1908,953,955,46.77
2020,CT2020,Bronx,36005025700,2025700,,,,1809,819,990,39.85
2020,CT2020,Bronx,36005026100,2026100,,,,2060,962,1098,43.18
2020,CT2020,Bronx,36005026300,2026300,,,,6788,3084,3704,39.23
2020,CT2020,Bronx,36005026400,2026400,,,,5693,2737,2956,105.39
2020,CT2020,Bronx,36005026500,2026500,,,,7166,3393,3773,49.95
2020,CT2020,Bronx,36005026601,2026601,,,,3328,1553,1775,42.07
2020,CT2020,Bronx,36005026602,2026602,,,,6409,3075,3334,74.97
2020,CT2020,Bronx,36005026701,2026701,,,,3983,1857,2126,17.09
2020,CT2020,Bronx,36005026702,2026702,,,,7022,3187,3835,41.11
2020,CT2020,Bronx,36005026900,2026900,,,,4126,1930,2196,94.9
2020,CT2020,Bronx,36005027300,2027300,,,,7939,3748,4191,50.25
2020,CT2020,Bronx,36005027401,2027401,,,,5136,2458,2678,173.25
2020,CT2020,Bronx,36005027402,2027402,,,,3553,1653,1900,124.74
2020,CT2020,Bronx,36005027600,2027600,,,,23,12,11,454.18
2020,CT2020,Bronx,36005027700,2027700,,,,4968,2318,2650,43.5
2020,CT2020,Bronx,36005027900,2027900,,,,8145,3788,4357,68.28
2020,CT2020,Bronx,36005028100,2028100,,,,3720,1602,2118,31.92
2020,CT2020,Bronx,36005028300,2028300,,,,2084,916,1168,56.2
2020,CT2020,Bronx,36005028400,2028400,,,,297,166,131,277.92
2020,CT2020,Bronx,36005028500,2028500,,,,3440,1582,1858,65.15
2020,CT2020,Bronx,36005028600,2028600,,,,1395,712,683,49.43
2020,CT2020,Bronx,36005028700,2028700,,,,3953,1831,2122,38.38
2020,CT2020,Bronx,36005028800,2028800,,,,3055,1462,1593,83.07
2020,CT2020,Bronx,36005028900,2028900,,,,4736,2151,2585,49.7
2020,CT2020,Bronx,36005029301,2029301,,,,1954,876,1078,70.87
2020,CT2020,Bronx,36005029302,2029302,,,,5248,2320,2928,105.08
2020,CT2020,Bronx,36005029500,2029500,,,,4615,2175,2440,58.43
2020,CT2020,Bronx,36005029600,2029600,,,,2878,1401,1477,178.73
2020,CT2020,Bronx,36005029700,2029700,,,,4005,1790,2215,57.51
2020,CT2020,Bronx,36005030000,2030000,,,,6591,3115,3476,102.72
2020,CT2020,Bronx,36005030100,2030100,,,,1627,678,949,36.08
2020,CT2020,Bronx,36005030201,2030201,,,,4048,1687,2361,54.76
2020,CT2020,Bronx,36005030202,2030202,,,,6063,2583,3480,45.2
2020,CT2020,Bronx,36005030701,2030701,,,,5799,2563,3236,98.04
2020,CT2020,Bronx,36005030900,2030900,,,,3947,1626,2321,337.51
2020,CT2020,Bronx,36005031000,2031000,,,,4372,2107,2265,158.01
2020,CT2020,Bronx,36005031200,2031200,,,,1555,745,810,49.93
2020,CT2020,Bronx,36005031400,2031400,,,,2071,994,1077,52.19
2020,CT2020,Bronx,36005031600,2031600,,,,2071,1027,1044,43.78
2020,CT2020,Bronx,36005031800,2031800,,,,1961,962,999,44.08
2020,CT2020,Bronx,36005031900,2031900,,,,454,118,336,52.68
2020,CT2020,Bronx,36005032300,2032300,,,,5001,2299,2702,138.67
2020,CT2020,Bronx,36005032400,2032400,,,,3113,1351,1762,66.09
2020,CT2020,Bronx,36005032600,2032600,,,,3494,1705,1789,82.06
2020,CT2020,Bronx,36005032800,2032800,,,,4133,1881,2252,50.58
2020,CT2020,Bronx,36005033000,2033000,,,,5837,2886,2951,50.94
2020,CT2020,Bronx,36005033201,2033201,,,,4103,1906,2197,28.18
2020,CT2020,Bronx,36005033202,2033202,,,,4204,1934,2270,28.47
2020,CT2020,Bronx,36005033400,2033400,,,,69,33,36,758.02
2020,CT2020,Bronx,36005033500,2033500,,,,2440,1145,1295,172.12
2020,CT2020,Bronx,36005033601,2033601,,,,4306,1936,2370,31.63
2020,CT2020,Bronx,36005033602,2033602,,,,1555,681,874,13.94
2020,CT2020,Bronx,36005033700,2033700,,,,3838,2025,1813,104.84
2020,CT2020,Bronx,36005033801,2033801,,,,2337,1132,1205,28.26
2020,CT2020,Bronx,36005033802,2033802,,,,1737,780,957,11.61
2020,CT2020,Bronx,36005034000,2034000,,,,4858,2273,2585,39.13
2020,CT2020,Bronx,36005034200,2034200,,,,1732,857,875,38.75
2020,CT2020,Bronx,36005034300,2034300,,,,1706,821,885,30.02
2020,CT2020,Bronx,36005034400,2034400,,,,1930,907,1023,38.8
2020,CT2020,Bronx,36005034500,2034500,,,,3754,1818,1936,67.86
2020,CT2020,Bronx,36005034800,2034800,,,,6640,3004,3636,108.1
2020,CT2020,Bronx,36005035000,2035000,,,,2284,1075,1209,47.35
2020,CT2020,Bronx,36005035100,2035100,,,,3539,1748,1791,143.44
2020,CT2020,Bronx,36005035600,2035600,,,,2261,1082,1179,99.92
2020,CT2020,Bronx,36005035800,2035800,,,,7542,3380,4162,160.98
2020,CT2020,Bronx,36005035900,2035900,,,,3731,1676,2055,33.19
2020,CT2020,Bronx,36005036000,2036000,,,,3024,1421,1603,65.77
