Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20016004003,0,0,0,10.35
2020,CB2020,005,2,Bronx,20016004004,0,0,0,10.18
2020,CB2020,005,2,Bronx,20016004005,63,37,26,5.83
2020,CB2020,005,2,Bronx,20016004006,303,119,184,5.02
2020,CB2020,005,2,Bronx,20016004007,386,209,177,9.64
2020,CB2020,005,2,Bronx,20016004008,316,144,172,4.7
2020,CB2020,005,2,Bronx,20016004009,139,64,75,4.64
2020,CB2020,005,2,Bronx,20016004010,164,60,104,4.73
2020,CB2020,005,2,Bronx,20019011000,0,0,0,0.26
2020,CB2020,005,2,Bronx,20019011001,0,0,0,0.27
2020,CB2020,005,2,Bronx,20019011002,0,0,0,1.42
2020,CB2020,005,2,Bronx,20019011003,0,0,0,0.74
2020,CB2020,005,2,Bronx,20019011004,0,0,0,1.95
2020,CB2020,005,2,Bronx,20019011005,88,52,36,1.63
2020,CB2020,005,2,Bronx,20019011006,27,14,13,2.64
2020,CB2020,005,2,Bronx,20019011007,26,10,16,1.5
2020,CB2020,005,2,Bronx,20019011008,0,0,0,0.74
2020,CB2020,005,2,Bronx,20019011009,0,0,0,2.19
2020,CB2020,005,2,Bronx,20019011010,506,284,222,4.18
2020,CB2020,005,2,Bronx,20019011011,278,147,131,4.53
2020,CB2020,005,2,Bronx,20019011012,715,331,384,4.66
2020,CB2020,005,2,Bronx,20019011013,0,0,0,4.15
2020,CB2020,005,2,Bronx,20019011014,652,317,335,19.8
2020,CB2020,005,2,Bronx,20019021000,0,0,0,0.59
2020,CB2020,005,2,Bronx,20019021001,0,0,0,0.74
2020,CB2020,005,2,Bronx,20019021002,0,0,0,5.47
2020,CB2020,005,2,Bronx,20019021003,0,0,0,3.17
2020,CB2020,005,2,Bronx,20019021004,0,0,0,1.03
2020,CB2020,005,2,Bronx,20019021005,0,0,0,0.76
2020,CB2020,005,2,Bronx,20019021006,0,0,0,0.91
2020,CB2020,005,2,Bronx,20019021007,0,0,0,0.56
2020,CB2020,005,2,Bronx,20019021008,0,0,0,0.84
2020,CB2020,005,2,Bronx,20019021009,0,0,0,0.96
2020,CB2020,005,2,Bronx,20019021010,0,0,0,2.02
2020,CB2020,005,2,Bronx,20019021011,0,0,0,0.3
2020,CB2020,005,2,Bronx,20019021012,0,0,0,2.25
2020,CB2020,005,2,Bronx,20019021013,2,2,0,3.02
2020,CB2020,005,2,Bronx,20019021014,0,0,0,1.41
2020,CB2020,005,2,Bronx,20019021015,214,152,62,4.27
2020,CB2020,005,2,Bronx,20019021016,0,0,0,3.38
